customer_id,customer_name,gender,age,city,signup_date,state
CUST100000,Saanvi Sharma,Male,46.0,Kolkata,2025-05-10,West Bengal
CUST100001,Divya Singh,Female,40.0,Bengaluru,2025-11-10,Karnataka
CUST100002,Isha Nair,Female,41.0,Delhi,2023-05-02,Delhi
CUST100003,Zoya Gupta,Male,51.0,Bengaluru,2024-04-11,Karnataka
CUST100004,Rohan Rao,Female,24.0,Pune,2023-11-27,Maharashtra
CUST100005,Ananya Kumar,Male,55.0,Hyderabad,2023-03-29,Telangana
CUST100006,Ishaan Reddy,Male,54.0,Lucknow,2025-05-21,Uttar Pradesh
CUST100007,Divya Sharma,Female,21.0,Bengaluru,2023-05-11,Karnataka
CUST100008,Riya Menon,Female,51.0,Ahmedabad,2025-02-08,Gujarat
CUST100009,Vivaan Patel,Male,59.0,Tiruppur,2023-12-10,Tamil Nadu
CUST100010,Isha Kumar,Female,39.0,Chennai,2025-03-16,Tamil Nadu
CUST100011,Rahul Nair,Male,22.0,Jaipur,2024-01-21,Rajasthan
CUST100012,Arjun Joshi,Female,59.0,Bengaluru,2025-08-13,Karnataka
CUST100013,Ananya Patel,Female,40.0,Lucknow,2023-10-04,Uttar Pradesh
CUST100014,Tara Reddy,Female,32.0,Jaipur,2024-04-04,Rajasthan
CUST100015,Aditya Pillai,Female,48.0,Lucknow,2023-01-22,Uttar Pradesh
CUST100016,Divya Iyer,Male,26.0,Pune,2023-09-10,Maharashtra
CUST100017,Tara Chatterjee,Female,60.0,Bengaluru,2025-01-17,Karnataka
CUST100018,Neha Gupta,Female,42.0,Bengaluru,2025-05-06,Karnataka
CUST100019,Meera Gupta,Female,42.0,Coimbatore,2024-04-19,Tamil Nadu
CUST100020,Reyansh Singh,Male,38.0,Ahmedabad,2025-12-18,Gujarat
CUST100021,Krishna Reddy,Female,26.0,Lucknow,2024-05-25,Uttar Pradesh
CUST100022,Karthik Mukherjee,Female,55.0,Mumbai,2024-11-30,Maharashtra
CUST100023,Vihaan Gupta,Male,39.0,Jaipur,2025-09-02,Rajasthan
CUST100024,Rohan Nair,Female,60.0,Hyderabad,2023-07-09,Telangana
CUST100025,Meera Verma,Male,40.0,Coimbatore,2025-08-15,Tamil Nadu
CUST100026,Zoya Chatterjee,Male,21.0,Ahmedabad,2024-11-17,Gujarat
CUST100027,Rahul Patel,Female,46.0,Pune,2025-08-15,Maharashtra
CUST100028,Ishaan Joshi,Female,32.0,Jaipur,2024-07-16,Rajasthan
CUST100029,Tara Joshi,Female,,Delhi,2025-04-11,Delhi
CUST100030,Reyansh Mukherjee,Male,47.0,Pune,2024-10-08,Maharashtra
CUST100031,Neha Mukherjee,Female,46.0,Mumbai,2023-01-21,Maharashtra
CUST100032,Lakshmi Rao,Male,37.0,Jaipur,2025-04-20,Rajasthan
CUST100033,Vihaan Singh,Male,50.0,Pune,2023-06-16,Maharashtra
CUST100034,Meera Iyer,Male,58.0,Coimbatore,2024-01-23,Tamil Nadu
CUST100035,Arjun Sharma,Female,61.0,Pune,2024-08-23,Maharashtra
CUST100036,Aditya Desai,Female,53.0,Mumbai,2023-11-12,Maharashtra
CUST100037,Suresh Rao,Female,39.0,Mumbai,2023-01-14,Maharashtra
CUST100038,Krishna Desai,Female,,Chennai,2023-08-30,Tamil Nadu
CUST100039,Rahul Nair,Male,24.0,Tiruppur,2025-02-15,Tamil Nadu
CUST100040,Vivaan Chatterjee,Female,25.0,Bengaluru,2024-07-18,Karnataka
CUST100041,Suresh Patel,Male,45.0,Delhi,2025-06-16,Delhi
CUST100042,Rohan Nair,Female,62.0,Delhi,2023-04-02,Delhi
CUST100043,Aditya Verma,Male,60.0,Coimbatore,2025-08-13,Tamil Nadu
CUST100044,Lakshmi Sharma,Female,26.0,Mumbai,2024-05-23,Maharashtra
